uid,postid,score,viewcount
"431","2608","2",""
"431","2700","19",""
"431","2756","10","57518"
"431","2938","10",""
"431","3019","1",""
"431","3053","5",""
"431","3860","9",""
"431","5142","2","4912"
"431","5250","3",""
"431","6350","0",""
"431","7672","8",""
"431","9134","0",""
"431","10862","1",""
"431","11934","0",""
"431","19301","0",""
"431","96042","16","6787"
"431","240102","0","494"
"431","241089","0","422"
"431","420140","0","833"
"431","420407","0",""
"431","785920","5",""
"431","1155791","1",""
"431","1202905","4","1146"
"431","1207652","0",""
"431","1367643","0",""
"431","1380654","8",""
"431","1380669","1",""
"431","1580142","3",""
"431","1707953","0",""
"431","1847759","1","548"
"431","1901070","0",""
"431","1924313","0",""
"431","2780964","12",""
"431","3703672","1",""
"431","4412874","2",""
"431","4603793","4",""
"431","4624795","1",""
"431","4747621","4",""
"431","4935748","3",""
"431","5004043","7",""
"431","5006732","0",""
"431","5028123","0",""
"431","5184752","1",""
"431","6033427","3","1558"
"431","6188213","7",""
"431","6203272","1","227"
"431","6251929","6",""
"431","6267108","5",""
"431","6282782","8",""
"431","6520246","16",""
"431","6574415","5",""
"431","6582162","3",""
"431","6596544","14",""
"431","6596752","1",""
"431","6681935","1","68"
"431","6762024","1",""
"431","6833580","0",""
"431","6914216","1",""
"431","7011676","2",""
"431","7229499","2",""
"431","8523611","5",""
"431","8574242","4",""
"431","8637812","2",""
"431","8645057","5",""
"431","8741622","1",""
"431","9829141","2","1138"
"431","10245275","1",""
"431","10801575","1",""
"431","10851692","0",""
"431","10881712","0",""
"431","10881856","2",""
"431","10902597","2",""
"431","11003713","1",""
"431","11474671","4",""
"431","12054063","1",""
"431","12096487","2",""
"431","12375266","3",""
"431","16857242","5",""
"431","16967313","0",""
"431","16983962","1",""
"431","17213877","3",""
"431","17215144","2",""
"431","17217682","1",""
"431","17275307","3",""
"431","17319046","2",""
"431","17319161","2",""
"431","17344874","1",""
"431","21017747","0",""
"431","25571850","0","30"
"431","2602","4",""
"431","19310","1",""
"431","3037","0",""
"432","2688","10","1776"
"432","2720","2",""
"432","2762","18",""
"432","2774","13",""
"432","2844","197","380894"
"432","2985","6",""
"432","3750","1",""
"432","4192","16",""
"432","7880","13","50069"
"432","7885","10","3802"
"432","8236","76","61487"
"432","9321","143","234204"
"432","9327","1",""
"432","9410","287","242258"
"432","10443","6","1526"
"432","11330","8","12169"
"432","11412","3",""
"432","12489","35","69859"
"432","12655","0",""
"432","12667","8",""
"432","17140","19","26312"
"432","17225","8","27041"
"432","17232","4",""
"432","17469","10","6126"
"432","18328","4",""
"432","29647","9","6904"
"432","48225","0","483"
"432","70405","57","88965"
"432","111954","33","41601"
"432","156330","36","61103"
"432","160828","3",""
"432","203859","0","3591"
"432","206486","1",""
"432","210933","4","852"
"432","210946","13",""
"432","215721","2",""
"432","275683","6","5560"
"432","275826","2",""
"432","300834","1",""
"432","301064","7",""
"432","312270","17",""
"432","321845","5",""
"432","325165","17","1945"
"432","342322","0",""
"432","416333","0",""
"432","740769","-1",""
"432","1024742","0","1242"
"432","1125153","0","907"
"432","1149047","1",""
"432","1162984","0","189"
"432","1163165","1",""
"432","1163238","1",""
"432","1163262","0",""
"432","1197560","1",""
"432","1198281","3","7102"
"432","1198332","2",""
"432","1231406","2",""
"432","1445889","3",""
"432","1703148","6","5627"
"432","1755196","1","4473"
"432","1755219","0",""
"432","1775247","4",""
"432","1850064","0","292"
"432","1850243","1",""
"432","2375934","3","138"
"432","2665733","1",""
"432","2735141","1","214"
"432","2847617","13","7208"
"432","2856780","1","497"
"432","2965314","1",""
"432","3411595","1",""
"432","4012529","0","327"
"432","4030511","6","10167"
"432","4030812","12",""
"432","4032127","0",""
"432","5581815","2",""
"432","7605088","0",""
"432","8524942","6",""
"432","8892564","2",""
"432","8960050","6",""
"432","12849396","1",""
"432","12851903","11",""
"432","15830910","3",""
"432","15831141","4",""
"432","16310509","2","122"
"432","18113137","1",""
"432","18126406","7","2354"
"432","18668001","6",""
"432","20648932","0",""
"432","24196009","6",""
"432","25417038","1","1585"
"432","26317455","1",""
"432","26900742","0","159"
"432","26917466","0",""
"432","26980971","1",""
"432","28816860","8",""
"432","28952303","5",""
"432","29131173","0","252"
"432","29134846","0",""
"432","29204610","-1",""
"432","29287526","3",""
"432","29617370","7","747"
"432","31174803","2",""
"432","31178240","0",""
"432","31178379","0",""
"432","31180943","3",""
"432","31200345","0",""
"432","32112562","1","203"
"432","32411154","1",""
"432","32831854","1",""
"432","33322441","0",""
"432","33322485","0",""
"432","33537191","0",""
"432","33900895","2",""
"432","33904913","0",""
"432","34432979","1",""
"432","35077869","0",""
"432","12527","27",""
"432","2965","13",""
"432","8249","10",""
"434","2639","8","3580"
"434","2649","11","1595"
"434","2652","13",""
"434","2685","268",""
"434","2709","3","319"
"434","2714","7","3333"
"434","2715","11",""
"434","2737","0",""
"434","2775","62","37946"
"434","2914","36","21829"
"434","1167395","1",""
"434","1751093","37",""
"434","9845159","26",""
"434","13502366","0",""
"434","14491143","2","204"
"434","19686838","0","97"
"434","20644165","1",""
"434","22917429","1",""
"435","2727","0",""
"435","2750","6","1776"
"435","55325","1",""
"435","55370","1",""
"435","4782893","1","1444"
"435","5584355","0","4378"
"435","5592442","0",""
"435","5745086","1",""
"435","6493573","1","1014"
"435","7284000","0","477"
"435","7754740","4","16545"
"435","21711785","6","148"
"437","2809","4","1600"
"437","3518","5",""
"437","5947","71",""
"437","10222","1",""
"437","10564","339","140154"
"437","13815","2",""
"437","16555","4",""
"437","18831","14",""
"437","20107","9","9515"
"437","20265","0",""
"437","20958","201","85207"
"437","26433","8","743"
"437","33305","56",""
"437","34539","6",""
"437","46182","10",""
"437","51127","4",""
"437","59390","5","1477"
"437","59891","0",""
"437","84840","4",""
"437","92138","3",""
"437","95355","3",""
"437","98710","26",""
"437","149124","2","7237"
"437","154631","26",""
"437","158426","1",""
"437","163530","92",""
"437","166730","1",""
"437","167515","5",""
"437","175819","1",""
"437","182382","1",""
"437","182419","9",""
"437","182466","20",""
"437","188981","8",""
"437","191017","1",""
"437","198311","1",""
"437","203205","2",""
"437","203453","1","1154"
"437","203476","0",""
"437","205968","3",""
"437","208904","5",""
"437","219629","27",""
"437","229541","3",""
"437","230796","2","301"
"437","246929","6",""
"437","290107","2",""
"437","290188","1",""
"437","290397","3","2489"
"437","309327","4",""
"437","311468","5",""
"437","340737","129",""
"437","344851","21","6811"
"437","350395","2",""
"437","368611","3",""
"437","372128","7",""
"437","372193","4",""
"437","414028","4",""
"437","446744","0",""
"437","577940","8","14771"
"437","578236","1",""
"437","580230","0",""
"437","583727","27",""
"437","584505","1",""
"437","585963","108",""
"437","590430","4",""
"437","595374","77","37661"
"437","602776","1",""
"437","606503","4",""
"437","608357","3","4790"
"437","615365","1",""
"437","615809","2",""
"437","617307","0",""
"437","644385","1",""
"437","677984","0",""
"437","690147","51","16137"
"437","702807","11",""
"437","709953","3",""
"437","714051","3",""
"437","715078","1",""
"437","727472","0",""
"437","727505","1",""
"437","737549","1",""
"437","749300","68",""
"437","770183","9",""
"437","773961","3",""
"437","779220","1",""
"437","786292","8",""
"437","808991","2","721"
"437","824998","11",""
"437","830782","12","6827"
"437","831751","0",""
"437","848980","3",""
"437","858468","12",""
"437","868625","2",""
"437","879144","0",""
"437","879440","3",""
"437","880542","1",""
"437","896039","4",""
"437","906992","4",""
"437","913450","2",""
"437","915618","11",""
"437","923936","4",""
"437","925674","7",""
"437","941964","2",""
"437","946154","8",""
"437","947195","47","22495"
"437","964650","5",""
"437","964753","1",""
"437","970725","6",""
"437","970839","2",""
"437","971058","37",""
"437","971281","0",""
"437","975278","35",""
"437","975991","1",""
"437","980910","102",""
"437","987527","10",""
"437","987981","0",""
"437","1002763","1",""
"437","1006650","119","38504"
"437","1028365","8",""
"437","1043587","13",""
"437","1063447","1",""
"437","1068757","3",""
"437","1071419","23",""
"437","1089219","6",""
"437","1104011","1",""
"437","1124913","3",""
"437","1125005","4",""
"437","1127845","1",""
"437","1131881","2",""
"437","1158953","8","1636"
"437","1166491","3",""
"437","1167970","10",""
"437","1168328","14",""
"437","1184584","1",""
"437","1190468","1",""
"437","1194225","1",""
"437","1206578","6",""
"437","1207474","0",""
"437","1208658","1",""
"437","1209463","1",""
"437","1212664","50",""
"437","1214284","3",""
"437","1224191","22",""
"437","1227670","17",""
"437","1228757","9",""
"437","1234493","3",""
"437","1239264","7",""
"437","1241297","4",""
"437","1246496","4",""
"437","1252760","3",""
"437","1252840","17",""
"437","1399457","1",""
"437","2210266","0",""
"437","2245888","1",""
"437","2252238","27","16853"
"437","2512909","4",""
"437","3056531","1",""
"437","3217587","8",""
"437","3380291","3","2033"
"437","3396894","3",""
"437","3409195","5",""
"437","3445591","78",""
"437","3623067","0",""
"437","4017832","4","746"
"437","4335400","7","4014"
"437","4585464","4",""
"437","4725603","128","29123"
"437","4831827","0",""
"437","4875556","2",""
"437","5105972","0","3175"
"437","7435886","1","508"
"437","7744896","0","185"
"437","9770766","8",""
"437","10175027","1",""
"437","10237611","2",""
"437","10506462","1",""
"437","10517058","0",""
"437","11594213","2",""
"437","12163993","0",""
"437","12523515","44",""
"437","14574448","3",""
"437","15281557","4",""
"437","15621422","2",""
"437","15764636","0",""
"437","15914529","4",""
"437","17200639","2",""
"437","17211603","1",""
"437","17220924","1","61"
"437","17224963","2",""
"437","17393035","0",""
"437","18433685","3",""
"437","18495694","2",""
"437","19181667","8",""
"437","22721848","2","72"
"437","24685667","0","53"
"437","25765339","1","312"
"437","25785312","1",""
"437","27367261","0","422"
"437","27382838","2",""
"437","27445142","1","110"
"437","27445170","0",""
"437","27445171","0",""
"437","28174947","2","89"
"437","28196648","0",""
"437","30175756","4","41"
"437","30175757","1",""
"437","31841999","0","70"
"437","31842000","0",""
"437","32916678","0",""
"437","3772","35",""
"437","168537","22",""
"437","175035","73",""
"437","338439","10",""
"437","424634","3",""
"437","165314","8","9108"
"437","517230","2",""
"437","517269","0",""
"437","592076","10","4055"
"437","2252242","62",""
"437","3452","247","307521"
"438","5107","4",""
"438","42894","0","2208"
"438","44899","1","340"
"438","46837","-1","556"
"438","46871","0",""
"438","46893","0",""
"438","50900","7","9450"
"438","50921","4",""
"438","69188","3","4393"
"438","80561","0","483"
"438","113086","8",""
"438","135933","1","505"
"438","159915","0",""
"438","202721","0",""
"438","203377","79","31029"
"438","206764","1","278"
"438","223666","0","412"
"438","238793","2","1060"
"438","242478","0","119"
"438","244419","2","1621"
"438","293597","4","1686"
"438","348837","2","5009"
"438","352234","7","626"
"438","429722","2","360"
"438","430587","0",""
"438","441618","3","1340"
"438","497030","4","2479"
"438","502775","3",""
"438","508876","0",""
"438","533869","0",""
"438","567179","0",""
"438","649593","10","2760"
"438","779644","15","5386"
"438","813835","0","864"
"438","813838","0",""
"438","923087","0",""
"438","942583","1","2154"
"438","1030118","0","1086"
"438","1089849","0","398"
"438","1219594","1","3450"
"438","1270815","0",""
"438","1280380","1",""
"438","1326828","0",""
"438","1376735","0",""
"438","1436077","12","6431"
"438","1451866","1",""
"438","1592611","2",""
"438","1633971","3","1874"
"438","1854352","10","1824"
"438","2441530","2","180"
"438","2474229","1","1600"
"438","2734271","0","79"
"438","2767750","3","2851"
"438","2909072","1","210"
"438","2917748","0",""
"438","2982629","7","665"
"438","3039364","0","135"
"438","3091145","0",""
"438","3184668","2","465"
"438","3184773","1",""
"438","3232405","0","125"
"438","3572044","1","2240"
"438","80434","19",""
"438","613146","22","11550"
"438","57844","14",""
"439","3027","10","1593"
"439","5029","2",""
"439","5194","7","3480"
"439","8062","7",""
"439","11238","21",""
"439","183859","7","6496"
"439","566492","4",""
"439","756587","2",""
"439","757609","0",""
"439","782069","0",""
"439","976824","2",""
"439","1103573","5","2925"
"439","1130896","1",""
"439","1229252","1",""
"439","1245304","3",""
"439","1245678","2",""
"439","1281032","8",""
"439","1346421","1",""
"439","1422485","3",""
"439","1455475","0",""
"439","3265082","2",""
"439","3292672","0",""
"439","3355157","3",""
"439","3389964","15",""
"439","10104","12",""
"440","293956","4","2988"
"440","294282","3",""
"440","22097503","0","55"
"441","2874","18","4019"
"441","40687","2",""
"441","40866","1",""
"441","143328","1",""
"441","143434","2",""
"441","164473","3",""
"441","12585536","1","507"
"443","2765","6","487"
"443","3523","12",""
"443","3942","2","291"
"443","23446","11","14551"
"443","97104","1","627"
"443","977014","1","2156"
"443","1075088","1",""
"443","5779536","4",""
"443","7029713","190",""
"443","7029901","1",""
"443","7032130","0",""
"443","7042383","1",""
"443","7080115","3",""
"443","7083270","2",""
"443","7083722","1",""
"443","7083780","0",""
"443","7108472","0",""
"443","7113562","2",""
"443","7122198","3",""
"443","7122284","1",""
"443","7123162","0",""
"443","7124524","0",""
"443","7125529","1",""
"443","7141560","2",""
"443","7142065","0",""
"443","7152847","1",""
"443","7194871","0",""
"443","7194980","2",""
"443","7195109","1",""
"443","7196062","2",""
"443","7204786","0",""
"443","7205807","0",""
"443","7205903","0",""
"443","7222282","1",""
"443","7233551","0",""
"443","7233784","0",""
"443","7233886","1",""
"443","7237853","3",""
"443","7244623","10",""
"443","7248505","2",""
"443","7248623","1",""
"443","7249099","1",""
"443","7249229","0",""
"443","7258793","0",""
"443","7260579","0",""
"443","7262468","0",""
"443","7263593","0",""
"443","7265030","1",""
"443","7265058","2",""
"443","7265181","3",""
"443","7271094","1",""
"443","7275795","0",""
"443","7286214","1",""
"443","7288544","1",""
"443","7320317","0",""
"443","7320674","0",""
"443","7322216","1",""
"443","7324790","9",""
"443","7324940","0",""
"443","7325169","1",""
"443","7328092","1",""
"443","7342328","1",""
"443","7342465","1",""
"443","7342510","1",""
"443","7342656","2",""
"443","7352587","1",""
"443","7352932","0",""
"443","7353274","1",""
"443","7354715","1",""
"443","7356491","1",""
"443","7383011","9",""
"443","7392119","0",""
"443","7393942","0",""
"443","7395174","0",""
"443","7406675","0","163"
"443","7406813","1",""
"443","7407378","1",""
"443","7407589","3",""
"443","7408466","0",""
"443","7409408","3",""
"443","7410401","4",""
"443","7410555","2",""
"443","7410651","1",""
"443","7465918","1",""
"443","7473212","3",""
"443","7480251","5",""
"443","7486697","0",""
"443","7492216","0",""
"443","7508685","17",""
"443","7508830","2",""
"443","7520505","0",""
"443","7520722","1",""
"443","7523476","9",""
"443","7532648","0",""
"443","7540436","2",""
"443","7563456","2",""
"443","7563626","1",""
"443","7573390","0",""
"443","7574819","3",""
"443","7597226","2",""
"443","7599140","5",""
"443","7601796","0",""
"443","7603938","1",""
"443","7611546","48",""
"443","7616378","0",""
"443","7653605","0",""
"443","7653646","1",""
"443","7653779","1",""
"443","7654593","1",""
"443","7655383","1",""
"443","7656526","7",""
"443","7669255","2",""
"443","7669263","2",""
"443","7680537","16",""
"443","7692348","3",""
"443","7799423","1",""
"443","7836858","1",""
"443","8081743","0",""
"443","8099338","0",""
"443","8099551","0",""
"443","8100237","1",""
"443","8100352","0",""
"443","8127044","4",""
"443","8234636","1",""
"443","8319535","4",""
"443","8350712","1",""
"443","8452550","0",""
"443","9441053","1",""
"443","12287271","1",""
"443","12303226","3",""
"443","12642844","25","18146"
"443","13114356","1",""
"443","13146875","1",""
"443","13258979","0",""
"443","13259036","1",""
"443","13570257","1",""
"443","13608513","1",""
"443","13651727","0",""
"443","13691983","0","174"
"443","13765769","0",""
"443","13848917","2","128"
"443","13886012","0",""
"443","13886301","0",""
"443","13886808","3",""
"443","13920317","1",""
"443","13922906","0",""
"443","13956019","0",""
"443","14074596","3",""
"443","14285592","0",""
"443","14286401","0",""
"443","14286492","2",""
"443","14382303","3",""
"443","14418436","0",""
"443","15766466","1",""
"443","18983518","0",""
"443","18983815","0",""
"443","21124183","0",""
"443","21918536","16","1220"
"443","22260327","0",""
"443","22669657","0",""
"443","23548683","0","28"
"443","32766653","1",""